"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"D1","24.3840","27.4320","TopLayer","180"
"U1","28.7440","31.3690","TopLayer","180"
"R4","40.2590","38.8620","TopLayer","180"
"R2","32.8930","38.8620","TopLayer","180"
"R3","41.2750","24.7650","TopLayer","0"
"C1","24.0030","32.5120","TopLayer","270"
"J2","6.9500","23.7400","BottomLayer","270"
"J1","45.0500","23.7400","BottomLayer","270"
"E1","26.0000","11.5900","TopLayer","0"
"R1","27.6860","22.0980","TopLayer","90"
