"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"U3","6.0000","29.0000","TopLayer","0"
"U2","6.0000","7.0000","TopLayer","0"
"U1","25.5000","17.5000","TopLayer","90"
"P1","2.5000","17.5000","BottomLayer","270"
"C1","34.6710","14.0570","TopLayer","0"
"C2","34.6710","12.2790","TopLayer","0"
"C4","25.9080","5.4301","TopLayer","270"
"C3","27.6860","5.4210","TopLayer","270"
"BT1","29.0000","17.5000","BottomLayer","270"
